sample id,source,batch number,batch date,xrf-wafer_formula,xrf-wafer_stdev,xrf-gde_formula,xrf-gde_stdev,libs-wafer_formula,libs-wafer_stdev,xrf-wafter-afteranneal_formula,xrf-wafer_Ag_mean,xrf-wafer_Ag_stdev,xrf-wafer_Au_mean,xrf-wafer_Au_stdev,xrf-gde_Ag_mean,xrf-gde_Ag_stdev,xrf-gde_Au_mean,xrf-gde_Au_stdev,xrf-wafer_Cu_mean,xrf-wafer_Cu_stdev,xrf-wafer_Hg_mean,xrf-wafer_Hg_stdev,xrf-wafer_Ir_mean,xrf-wafer_Ir_stdev,xrf-wafer_Pd_mean,xrf-wafer_Pd_stdev,xrf-wafer_Rh_mean,xrf-wafer_Rh_stdev,xrf-wafer_Ru_mean,xrf-wafer_Ru_stdev,xrf-wafer_Tl_mean,xrf-wafer_Tl_stdev,xrf-wafer_Cd_mean,xrf-wafer_Cd_stdev,xrf-wafer_Sn_mean,xrf-wafer_Sn_stdev,xrf-wafer_Co_mean,xrf-wafer_Co_stdev,xrf-wafer_Cr_mean,xrf-wafer_Cr_stdev,xrf-wafer_Fe_mean,xrf-wafer_Fe_stdev,xrf-wafer_Ga_mean,xrf-wafer_Ga_stdev,xrf-wafer_In_mean,xrf-wafer_In_stdev,xrf-wafer_Mn_mean,xrf-wafer_Mn_stdev,xrf-wafer_Ni_mean,xrf-wafer_Ni_stdev,xrf-wafer_O_mean,xrf-wafer_O_stdev,xrf-wafer_Pb_mean,xrf-wafer_Pb_stdev,xrf-wafer_Si_mean,xrf-wafer_Si_stdev,xrf-wafer_Zn_mean,xrf-wafer_Zn_stdev,xrf-gde_In_mean,xrf-gde_In_stdev,libs-wafer_Au_mean,libs-wafer_Au_stdev,libs-wafer_In_mean,libs-wafer_In_stdev,xrf-gde_Cu_mean,xrf-gde_Cu_stdev,xrf-wafter-afteranneal_Pd_mean,xrf-wafter-afteranneal_Pd_stdev,xrf-wafter-afteranneal_Sn_mean,xrf-wafter-afteranneal_Sn_stdev,xrf-wafter-afteranneal_stdev,xrf-gde_Pd_mean,xrf-gde_Pd_stdev,xrf-gde_Sn_mean,xrf-gde_Sn_stdev,xrf-gde_Zn_mean,xrf-gde_Zn_stdev,xrf-gde_Ga_mean,xrf-gde_Ga_stdev
vsp2_240718_Au-0.7-In-0.3_pp0_rep2,vsp,2,240718,Au-0.644-In-0.356,"[0.0335459883344243, 0.0335459883344243]",,,Au-0.83-In-0.17,"[0.0, 0.0]",,,,0.6436666666666667,0.0335459883344243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3563333333333333,0.0335459883344243,,,,,,,,,,,,,,,0.83,0.0,0.17,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.714-In-0.286_pp0_rep1,vsp,2,240718,Au-0.582-In-0.418,"[0.0165227116418583, 0.0165227116418582]",Au-0.614-In-0.386,"[0.0087368949480541, 0.008736894948054]",Au-0.82-In-0.18,"[0.0, 0.0]",,,,0.582,0.0165227116418583,,,0.6143333333333333,0.0087368949480541,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,0.0165227116418582,,,,,,,,,,,,,0.3856666666666666,0.008736894948054,0.82,0.0,0.18,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.714-In-0.286_pp0_rep2,vsp,2,240718,Au-0.651-In-0.349,"[0.0185562208796223, 0.0185562208796223]",,,Au-0.81-In-0.19,"[0.0, 0.0]",,,,0.6506666666666666,0.0185562208796223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3493333333333333,0.0185562208796223,,,,,,,,,,,,,,,0.81,0.0,0.19,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep1,vsp,2,240718,Au-0.648-In-0.352,"[0.0206639783197718, 0.0206639783197718]",Au-0.607-In-0.393,"[0.0023094010767585, 0.0023094010767585]",Au-0.85-In-0.15,"[0.0, 0.0]",,,,0.648,0.0206639783197718,,,0.6066666666666666,0.0023094010767585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352,0.0206639783197718,,,,,,,,,,,,,0.3933333333333333,0.0023094010767585,0.85,0.0,0.15,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep2,vsp,2,240718,Au-0.674-In-0.326,"[0.0145258390463339, 0.0145258390463339]",,,Au-0.79-In-0.21,"[0.0, 0.0]",,,,0.674,0.0145258390463339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,0.0145258390463339,,,,,,,,,,,,,,,0.79,0.0,0.21,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep3,vsp,2,240718,Au-0.647-In-0.353,"[0.0266333124739175, 0.0266333124739175]",Au-0.6-In-0.4,"[0.0075718777944003, 0.0075718777944003]",Au-0.84-In-0.16,"[0.0, 0.0]",,,,0.6473333333333333,0.0266333124739175,,,0.5996666666666667,0.0075718777944003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3526666666666667,0.0266333124739175,,,,,,,,,,,,,0.4003333333333334,0.0075718777944003,0.84,0.0,0.16,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep4,vsp,2,240718,Au-0.692-In-0.308,"[0.0273007936392577, 0.0273007936392576]",,,Au-0.85-In-0.15,"[0.0, 0.0]",,,,0.6923333333333334,0.0273007936392577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076666666666666,0.0273007936392576,,,,,,,,,,,,,,,0.85,0.0,0.15,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep5,vsp,2,240718,Au-0.679-In-0.321,"[0.0295352896267047, 0.0295352896267047]",Au-0.589-In-0.411,"[0.0098488578017961, 0.009848857801796]",Au-0.8-In-0.2,"[0.0, 0.0]",,,,0.6786666666666666,0.0295352896267047,,,0.589,0.0098488578017961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3213333333333333,0.0295352896267047,,,,,,,,,,,,,0.411,0.009848857801796,0.8,0.0,0.2,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep6,vsp,2,240718,Au-0.661-In-0.339,"[0.039230090491866, 0.039230090491866]",,,Au-0.83-In-0.17,"[0.0, 0.0]",,,,0.6609999999999999,0.039230090491866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,0.039230090491866,,,,,,,,,,,,,,,0.83,0.0,0.17,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.769-In-0.231_pp0_rep1,vsp,2,240718,Au-0.684-In-0.316,"[0.0324499614791758, 0.0324499614791759]",Au-0.627-In-0.373,"[0.019157244060668, 0.019157244060668]",Au-0.87-In-0.13,"[0.0, 0.0]",,,,0.684,0.0324499614791758,,,0.6269999999999999,0.019157244060668,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316,0.0324499614791759,,,,,,,,,,,,,0.373,0.019157244060668,0.87,0.0,0.13,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.769-In-0.231_pp0_rep2,vsp,2,240718,Au-0.714-In-0.286,"[0.0115470053837924, 0.0115470053837924]",,,Au-0.82-In-0.18,"[0.0, 0.0]",,,,0.7136666666666667,0.0115470053837924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2863333333333333,0.0115470053837924,,,,,,,,,,,,,,,0.82,0.0,0.18,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.8-In-0.2_pp0_rep1,vsp,2,240718,Au-0.682-In-0.318,"[0.0165227116418582, 0.0165227116418583]",Au-0.629-In-0.371,"[0.013076696830622, 0.013076696830622]",Au-0.82-In-0.18,"[0.0, 0.0]",,,,0.6819999999999999,0.0165227116418582,,,0.629,0.013076696830622,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,0.0165227116418583,,,,,,,,,,,,,0.371,0.013076696830622,0.82,0.0,0.18,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.8-In-0.2_pp0_rep2,vsp,2,240718,Au-0.679-In-0.321,"[0.0268390263112008, 0.0268390263112009]",,,Au-0.82-In-0.18,"[0.0, 0.0]",,,,0.6793333333333335,0.0268390263112008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3206666666666666,0.0268390263112009,,,,,,,,,,,,,,,0.82,0.0,0.18,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.833-In-0.167_pp0_rep1,vsp,2,240718,Au-0.744-In-0.256,"[0.0255799400572661, 0.0255799400572662]",Au-0.702-In-0.298,"[0.0321403173599764, 0.0321403173599763]",Au-0.88-In-0.12,"[0.0, 0.0]",,,,0.7443333333333332,0.0255799400572661,,,0.702,0.0321403173599764,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2556666666666666,0.0255799400572662,,,,,,,,,,,,,0.298,0.0321403173599763,0.88,0.0,0.12,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.833-In-0.167_pp0_rep2,vsp,2,240718,Au-0.744-In-0.256,"[0.0344431899413124, 0.0344431899413125]",,,Au-0.85-In-0.15,"[0.0, 0.0]",,,,0.7436666666666666,0.0344431899413124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2563333333333333,0.0344431899413125,,,,,,,,,,,,,,,0.85,0.0,0.15,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.875-In-0.125_pp0_rep1,vsp,2,240718,Au-0.734-In-0.266,"[0.0362537354397216, 0.0362537354397217]",Au-0.672-In-0.328,"[0.0020816659994661, 0.0020816659994661]",Au-0.87-In-0.13,"[0.0, 0.0]",,,,0.7336666666666667,0.0362537354397216,,,0.6723333333333333,0.0020816659994661,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2663333333333333,0.0362537354397217,,,,,,,,,,,,,0.3276666666666667,0.0020816659994661,0.87,0.0,0.13,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.875-In-0.125_pp0_rep2,vsp,2,240718,Au-0.756-In-0.244,"[0.0247588368062799, 0.0247588368062798]",,,Au-0.88-In-0.12,"[0.0, 0.0]",,,,0.7559999999999999,0.0247588368062799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.0247588368062798,,,,,,,,,,,,,,,0.88,0.0,0.12,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep1,vsp,2,240718,Au-0.735-In-0.265,"[0.0195192212959431, 0.0195192212959431]",Au-0.721-In-0.279,"[0.0247049252849171, 0.024704925284917]",Au-0.91-In-0.09,"[0.0, 0.0]",,,,0.735,0.0195192212959431,,,0.7213333333333334,0.0247049252849171,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,0.0195192212959431,,,,,,,,,,,,,0.2786666666666667,0.024704925284917,0.91,0.0,0.09,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep2,vsp,2,240718,Au-0.791-In-0.209,"[0.0145716619962629, 0.0145716619962629]",,,Au-0.89-In-0.11,"[0.0, 0.0]",,,,0.7913333333333332,0.0145716619962629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2086666666666666,0.0145716619962629,,,,,,,,,,,,,,,0.89,0.0,0.11,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep3,vsp,2,240718,Au-0.773-In-0.227,"[0.0298161030317511, 0.0298161030317511]",Au-0.696-In-0.304,"[0.0289194283023252, 0.0289194283023252]",Au-0.89-In-0.11,"[0.0, 0.0]",,,,0.773,0.0298161030317511,,,0.6956666666666665,0.0289194283023252,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2269999999999999,0.0298161030317511,,,,,,,,,,,,,0.3043333333333333,0.0289194283023252,0.89,0.0,0.11,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep4,vsp,2,240718,Au-0.722-In-0.278,"[0.0291433239925258, 0.0291433239925258]",,,Au-0.87-In-0.13,"[0.0, 0.0]",,,,0.7223333333333333,0.0291433239925258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2776666666666667,0.0291433239925258,,,,,,,,,,,,,,,0.87,0.0,0.13,0.0,,,,,,,,,,,,,,,
vsp2_240718_Au-1.0_pp0_rep1,vsp,2,240718,Au-1.0,[0.005],Au-1.0,[0.0234378611083292],,[],,,,0.964,0.005,,,0.8626666666666667,0.0234378611083292,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0359,0.00525071423713,,,,,,,,,,,,,0.1373333333333333,0.0234378611083292,,,,,,,,,,,,,,,,,,,
vsp2_240718_Au-1.0_pp0_rep2,vsp,2,240718,Au-1.0,[0.0111504857891184],,,Au-1.0,[0.0],,,,0.9766666666666668,0.0111504857891184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0234333333333333,0.0107537590326979,,,,,,,,,,,,,,,0.91,0.0,0.1,0.0,,,,,,,,,,,,,,,
vsp2_240718_In-1.0_pp0_rep1,vsp,2,240718,In-1.0,[0.0019999999999998],In-1.0,[0.002],In-1.0,[0.0],,,,-0.0012633333333333,0.0019168289786345,,,0.037,0.0017088007490635,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001,0.0019999999999998,,,,,,,,,,,,,0.963,0.002,0.04,0.0,0.96,0.0,,,,,,,,,,,,,,,
vsp2_240718_In-1.0_pp0_rep2,vsp,2,240718,In-1.0,[0.0058594652770823],,,,[],,,,-0.01013,0.0056695590657475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0103333333333333,0.0058594652770823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp3_240718_Au-0.111-Cu-0.889_pp0_rep1,vsp,3,240718,Au-0.117-Cu-0.883,"[0.0085440037453175, 0.0085440037453174]",Au-0.147-Cu-0.853,"[0.0090737717258774, 0.0090737717258774]",,,,,,0.1169999999999999,0.0085440037453175,,,0.1466666666666666,0.0090737717258774,0.883,0.0085440037453174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8533333333333334,0.0090737717258774,,,,,,,,,,,,,
vsp3_240718_Au-0.125-Cu-0.875_pp0_rep1,vsp,3,240718,Au-0.136-Cu-0.864,"[0.0147309198626562, 0.0147309198626562]",Au-0.157-Cu-0.843,"[0.0017320508075688, 0.0017320508075688]",,,,,,0.136,0.0147309198626562,,,0.157,0.0017320508075688,0.8639999999999999,0.0147309198626562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843,0.0017320508075688,,,,,,,,,,,,,
vsp3_240718_Au-0.25-Cu-0.75_pp0_rep1,vsp,3,240718,Au-0.366-Cu-0.634,"[0.0028867513459481, 0.0028867513459481]",Au-0.374-Cu-0.626,"[0.0172433562085034, 0.0172433562085034]",,,,,,0.3656666666666666,0.0028867513459481,,,0.3736666666666666,0.0172433562085034,0.6343333333333333,0.0028867513459481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6263333333333333,0.0172433562085034,,,,,,,,,,,,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep1,vsp,3,240718,Au-0.528-Cu-0.472,"[0.0126622799421483, 0.0126622799421484]",Au-0.481-Cu-0.519,"[0.0032145502536643, 0.0032145502536643]",,,,,,0.5276666666666667,0.0126622799421483,,,0.4813333333333333,0.0032145502536643,0.4723333333333333,0.0126622799421484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5186666666666667,0.0032145502536643,,,,,,,,,,,,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep2,vsp,3,240718,Au-0.468-Cu-0.532,"[0.0055075705472861, 0.0055075705472861]",Au-0.442-Cu-0.558,"[0.0083266639978645, 0.0083266639978645]",,,,,,0.4683333333333332,0.0055075705472861,,,0.4416666666666666,0.0083266639978645,0.5316666666666666,0.0055075705472861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5583333333333332,0.0083266639978645,,,,,,,,,,,,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep3,vsp,3,240718,Au-0.502-Cu-0.498,"[0.0092915732431775, 0.0092915732431775]",Au-0.448-Cu-0.552,"[0.0150443787951956, 0.0150443787951956]",,,,,,0.5016666666666666,0.0092915732431775,,,0.4483333333333333,0.0150443787951956,0.4983333333333333,0.0092915732431775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5516666666666666,0.0150443787951956,,,,,,,,,,,,,
vsp3_240718_Au-0.375-Cu-0.625_pp0_rep1,vsp,3,240718,Au-0.564-Cu-0.436,"[0.0090737717258774, 0.0090737717258774]",Au-0.492-Cu-0.508,"[0.0100166528008777, 0.0100166528008778]",,,,,,0.5643333333333334,0.0090737717258774,,,0.4916666666666667,0.0100166528008777,0.4356666666666666,0.0090737717258774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5083333333333333,0.0100166528008778,,,,,,,,,,,,,
vsp3_240718_Au-0.4-Cu-0.6_pp0_rep1,vsp,3,240718,Au-0.505-Cu-0.495,"[0.0127017059221717, 0.0127017059221717]",Au-0.447-Cu-0.553,"[0.0030550504633038, 0.0030550504633038]",,,,,,0.5053333333333333,0.0127017059221717,,,0.4473333333333333,0.0030550504633038,0.4946666666666666,0.0127017059221717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5526666666666668,0.0030550504633038,,,,,,,,,,,,,
vsp3_240718_Au-0.429-Cu-0.571_pp0_rep1,vsp,3,240718,Au-0.619-Cu-0.381,"[0.0368555739791599, 0.0368555739791599]",Au-0.57-Cu-0.43,"[0.0080829037686547, 0.0080829037686547]",,,,,,0.6186666666666667,0.0368555739791599,,,0.5696666666666667,0.0080829037686547,0.3813333333333333,0.0368555739791599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4303333333333333,0.0080829037686547,,,,,,,,,,,,,
vsp3_240718_Au-0.5-Cu-0.5_pp0_rep1,vsp,3,240718,Au-0.729-Cu-0.271,"[0.0122882057274444, 0.0122882057274445]",Au-0.62-Cu-0.38,"[0.008386497083606, 0.008386497083606]",,,,,,0.7290000000000001,0.0122882057274444,,,0.6203333333333333,0.008386497083606,0.271,0.0122882057274445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3796666666666666,0.008386497083606,,,,,,,,,,,,,
vsp3_240718_Au-0.556-Cu-0.444_pp0_rep1,vsp,3,240718,Au-0.769-Cu-0.231,"[0.0125033328890073, 0.0125033328890073]",Au-0.653-Cu-0.347,"[0.0205507501890644, 0.0205507501890644]",,,,,,0.7686666666666667,0.0125033328890073,,,0.6533333333333333,0.0205507501890644,0.2313333333333333,0.0125033328890073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3466666666666667,0.0205507501890644,,,,,,,,,,,,,
vsp3_240718_Au-0.571-Cu-0.429_pp0_rep1,vsp,3,240718,Au-0.735-Cu-0.265,"[0.0243789526709687, 0.0243789526709687]",Au-0.615-Cu-0.385,"[0.0020816659994661, 0.0020816659994661]",,,,,,0.7346666666666667,0.0243789526709687,,,0.6153333333333334,0.0020816659994661,0.2653333333333333,0.0243789526709687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3846666666666666,0.0020816659994661,,,,,,,,,,,,,
vsp3_240718_Au-0.6-Cu-0.4_pp0_rep1,vsp,3,240718,Au-0.699-Cu-0.301,"[0.0069999999999999, 0.007]",Au-0.599-Cu-0.401,"[0.007, 0.0069999999999999]",,,,,,0.6990000000000002,0.0069999999999999,,,0.5990000000000001,0.007,0.301,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4009999999999999,0.0069999999999999,,,,,,,,,,,,,
vsp3_240718_Au-0.625-Cu-0.375_pp0_rep1,vsp,3,240718,Au-0.764-Cu-0.236,"[0.0026457513110645, 0.0026457513110645]",Au-0.656-Cu-0.344,"[0.0066583281184793, 0.0066583281184793]",,,,,,0.7639999999999999,0.0026457513110645,,,0.6556666666666667,0.0066583281184793,0.236,0.0026457513110645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3443333333333334,0.0066583281184793,,,,,,,,,,,,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep1,vsp,3,240718,Au-0.781-Cu-0.219,"[0.0115902257671424, 0.0115902257671424]",Au-0.677-Cu-0.323,"[0.005507570547286, 0.005507570547286]",,,,,,0.7806666666666665,0.0115902257671424,,,0.6773333333333333,0.005507570547286,0.2193333333333333,0.0115902257671424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3226666666666666,0.005507570547286,,,,,,,,,,,,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep2,vsp,3,240718,Au-0.763-Cu-0.237,"[0.0364737348421207, 0.0364737348421207]",Au-0.697-Cu-0.303,"[0.0203059925473573, 0.0203059925473573]",,,,,,0.7633333333333333,0.0364737348421207,,,0.6966666666666667,0.0203059925473573,0.2366666666666666,0.0364737348421207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3033333333333333,0.0203059925473573,,,,,,,,,,,,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep3,vsp,3,240718,Au-0.773-Cu-0.227,"[0.0120968315410827, 0.0120968315410827]",Au-0.662-Cu-0.338,"[0.0127017059221717, 0.0127017059221717]",,,,,,0.7733333333333334,0.0120968315410827,,,0.6623333333333333,0.0127017059221717,0.2266666666666666,0.0120968315410827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3376666666666666,0.0127017059221717,,,,,,,,,,,,,
vsp3_240718_Au-0.75-Cu-0.25_pp0_rep1,vsp,3,240718,Au-0.8-Cu-0.2,"[0.0152752523165194, 0.0152752523165194]",Au-0.693-Cu-0.307,"[0.0075498344352707, 0.0075498344352707]",,,,,,0.7996666666666666,0.0152752523165194,,,0.6930000000000001,0.0075498344352707,0.2003333333333333,0.0152752523165194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,0.0075498344352707,,,,,,,,,,,,,
vsp3_240718_Au-0.8-Cu-0.2_pp0_rep1,vsp,3,240718,Au-0.758-Cu-0.242,"[0.1459257802217735, 0.1459257802217734]",Au-0.7-Cu-0.3,"[0.0029999999999999, 0.003]",,,,,,0.7583333333333333,0.1459257802217735,,,0.7000000000000001,0.0029999999999999,0.2416666666666666,0.1459257802217734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.003,,,,,,,,,,,,,
vsp3_240718_Au-0.833-Cu-0.167_pp0_rep1,vsp,3,240718,Au-0.864-Cu-0.136,"[0.0245831920899897, 0.0245831920899897]",Au-0.703-Cu-0.297,"[0.0107857931249089, 0.0107857931249089]",,,,,,0.8636666666666667,0.0245831920899897,,,0.7033333333333333,0.0107857931249089,0.1363333333333333,0.0245831920899897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2966666666666666,0.0107857931249089,,,,,,,,,,,,,
vsp3_240718_Au-0.875-Cu-0.125_pp0_rep1,vsp,3,240718,Au-0.87-Cu-0.13,"[0.0168226038412607, 0.0168226038412607]",Au-0.715-Cu-0.285,"[0.032005207909547, 0.032005207909547]",,,,,,0.87,0.0168226038412607,,,0.7146666666666667,0.032005207909547,0.13,0.0168226038412607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2853333333333334,0.032005207909547,,,,,,,,,,,,,
vsp3_240718_Au-0.889-Cu-0.111_pp0_rep1,vsp,3,240718,Au-0.876-Cu-0.124,"[0.0243310501211929, 0.0243310501211928]",Au-0.71-Cu-0.29,"[0.0143643076176101, 0.0143643076176101]",,,,,,0.876,0.0243310501211929,,,0.7096666666666668,0.0143643076176101,0.124,0.0243310501211928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2903333333333333,0.0143643076176101,,,,,,,,,,,,,
vsp3_240718_Au-1.0_pp0_rep1,vsp,3,240718,Au-1.0,[0.0204287379280593],Au-1.0,[0.0178978583448783],,,,,,1.0023333333333333,0.0204287379280593,,,0.7923333333333332,0.0178978583448783,-0.0022,0.0200805876408037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2076666666666666,0.0178978583448784,,,,,,,,,,,,,
vsp3_240718_Cu-1.0_pp0_rep1,vsp,3,240718,Cu-1.0,[0.0023094010767585],Cu-1.0,[0.0005773502691896],,,,,,-0.0067266666666666,0.0022661494507938,,,0.0334,0.0005196152422706,1.0066666666666666,0.0023094010767585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9663333333333334,0.0005773502691896,,,,,,,,,,,,,
vsp4_240726_Pd-0.2-Sn-0.8_pp0_rep1,vsp,4,240726,Pd-0.118-Sn-0.882,"[0.0176918060129541, 0.0176918060129541]",Pd-0.236-Sn-0.764,"[0.0078102496759066, 0.0066583281184794]",,,Pd-0.112-Sn-0.888,,,,,,,,,,,,,,,0.118,0.0176918060129541,,,,,,,,,0.882,0.0176918060129541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.0113578166916005,0.8879999999999999,0.0113578166916005,"[0.0113578166916005, 0.0113578166916005]",0.235,0.0078102496759066,0.7616666666666667,0.0066583281184794,,,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep1,vsp,4,240726,Pd-0.128-Sn-0.872,"[0.0213619599600161, 0.0213619599600161]",Pd-0.268-Sn-0.732,"[0.0223681320930768, 0.0223681320930768]",,,Pd-0.147-Sn-0.853,,,,,,,,,,,,,,,0.1283333333333333,0.0213619599600161,,,,,,,,,0.8716666666666666,0.0213619599600161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.0101488915650922,0.8530000000000001,0.0101488915650922,"[0.0101488915650922, 0.0101488915650922]",0.2676666666666666,0.0223681320930768,0.7323333333333334,0.0223681320930768,,,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep2,vsp,4,240726,Pd-0.154-Sn-0.846,"[0.0057735026918962, 0.0057735026918962]",Pd-0.3-Sn-0.7,"[0.0170098010962307, 0.0170098010962308]",,,Pd-0.173-Sn-0.827,,,,,,,,,,,,,,,0.1543333333333333,0.0057735026918962,,,,,,,,,0.8456666666666668,0.0057735026918962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1733333333333333,0.0101159939369956,0.8266666666666667,0.0101159939369957,"[0.0101159939369956, 0.0101159939369957]",0.3003333333333333,0.0170098010962307,0.6996666666666668,0.0170098010962308,,,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep3,vsp,4,240726,Pd-0.157-Sn-0.843,"[0.01950213663508, 0.0195021366350801]",Pd-0.287-Sn-0.713,"[0.0162583311976762, 0.0162583311976762]",,,Pd-0.161-Sn-0.839,,,,,,,,,,,,,,,0.1573333333333333,0.01950213663508,,,,,,,,,0.8426666666666667,0.0195021366350801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1613333333333333,0.0241108550933668,0.8386666666666667,0.0241108550933669,"[0.0241108550933668, 0.0241108550933669]",0.2866666666666666,0.0162583311976762,0.7133333333333334,0.0162583311976762,,,,
