xrd dir,sample id,source,batch number,batch date,target comp,xrf comp,xrf offset,xrf stdev,allsolutions_cifids,allsolutions_formulas,allsolutions_weights,allsolutions_rwp,total no of solutions,solutions_target_cifids,solutions_target_qrankings,solutions_target_qscore,solutions_target_formulas,solutions_target_rwp,solutions_target_wt,solutions_target_rankings
vsp2_240718\/raw\/vsp2_240718_Au-0.5-In-0.5_pp0_rep1.xy,vsp2_240718_Au-0.5-In-0.5_pp0_rep1,vsp,2,240718,Au-0.5-In-0.5,Au-0.563-In-0.437,"[-0.063, 0.063]","[0.02, 0.02]","[['cod-1510347', 'dcgat-agm003157171', 'cod-2105399'], ['mp-1008634', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-1.0', 'Au-1.0', 'Au-0.692-In-0.308']]","[[0.92, 0.07, 0.01], [0.97, 0.02, 0.02]]","[35.5, 47.4]",2,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.5-In-0.5_pp0_rep3.xy,vsp2_240718_Au-0.5-In-0.5_pp0_rep3,vsp,2,240718,Au-0.5-In-0.5,Au-0.544-In-0.456,"[-0.044, 0.044]","[0.01, 0.01]","[['cod-1510347', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308']]","[[0.92, 0.08, 0.0]]",[36.4],1,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.5-In-0.5_pp0_rep5.xy,vsp2_240718_Au-0.5-In-0.5_pp0_rep5,vsp,2,240718,Au-0.5-In-0.5,Au-0.575-In-0.425,"[-0.075, 0.075]","[0.02, 0.02]","[['cod-1510347', 'dcgat-agm003157171', 'cod-2105399'], ['mp-1008634', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-1.0', 'Au-1.0', 'Au-0.692-In-0.308']]","[[0.98, 0.01, 0.01], [0.99, 0.01, 0.0]]","[34.9, 43.4]",2,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.6-In-0.4_pp0_rep1.xy,vsp2_240718_Au-0.6-In-0.4_pp0_rep1,vsp,2,240718,Au-0.6-In-0.4,Au-0.577-In-0.423,"[0.023, -0.023]","[0.03, 0.03]","[['cod-1510347', 'dcgat-agm003157171', 'cod-2105399'], ['oqmd-321183', 'dcgat-agm003299761', 'dcgat-agm003157171'], ['mp-1008634', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.75-In-0.25', 'Au-0.875-In-0.125', 'Au-1.0'], ['Au-1.0', 'Au-1.0', 'Au-0.692-In-0.308']]","[[0.95, 0.04, 0.01], [0.98, 0.02, 0.0], [0.97, 0.01, 0.02]]","[35.8, 36.2, 45.1]",3,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.625-In-0.375_pp0_rep1.xy,vsp2_240718_Au-0.625-In-0.375_pp0_rep1,vsp,2,240718,Au-0.625-In-0.375,Au-0.652-In-0.348,"[-0.027, 0.027]","[0.03, 0.03]",,,,,0,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.667-In-0.333_pp0_rep1.xy,vsp2_240718_Au-0.667-In-0.333_pp0_rep1,vsp,2,240718,Au-0.667-In-0.333,Au-0.63-In-0.37,"[0.037, -0.037]","[0.05, 0.05]",,,,,0,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.7-In-0.3_pp0_rep1.xy,vsp2_240718_Au-0.7-In-0.3_pp0_rep1,vsp,2,240718,Au-0.7-In-0.3,Au-0.614-In-0.386,"[0.086, -0.086]","[0.04, 0.04]","[['cod-1510347', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308']]","[[0.94, 0.05, 0.02]]",[40.6],1,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.714-In-0.286_pp0_rep1.xy,vsp2_240718_Au-0.714-In-0.286_pp0_rep1,vsp,2,240718,Au-0.714-In-0.286,Au-0.582-In-0.418,"[0.132, -0.132]","[0.02, 0.02]",,,,,0,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.75-In-0.25_pp0_rep1.xy,vsp2_240718_Au-0.75-In-0.25_pp0_rep1,vsp,2,240718,Au-0.75-In-0.25,Au-0.648-In-0.352,"[0.102, -0.102]","[0.02, 0.02]","[['oqmd-1285258', 'cod-9009001', 'oqmd-345669']]","[['Au-0.75-In-0.25', 'Au-0.333-In-0.667', 'Au-0.75-In-0.25']]","[[0.98, 0.01, 0.02]]",[46.2],1,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_Au-0.75-In-0.25_pp0_rep3.xy,vsp2_240718_Au-0.75-In-0.25_pp0_rep3,vsp,2,240718,Au-0.75-In-0.25,Au-0.647-In-0.353,"[0.103, -0.103]","[0.03, 0.03]","[['dcgat-agm003187412', 'dcgat-agm002136626', 'cod-1510347'], ['dcgat-agm003196024'], ['dcgat-agm002154695', 'dcgat-agm002136626', 'oqmd-1338473'], ['cod-2105399'], ['oqmd-1520568']]","[['Au-0.75-In-0.25', 'Au-1.0', 'Au-0.8-In-0.2'], ['Au-0.667-In-0.333'], ['In-1.0', 'Au-1.0', 'Au-0.667-In-0.333'], ['Au-0.692-In-0.308'], ['Au-0.667-In-0.333']]","[[0.23, 0.1, 0.67], [1.0], [0.46, 0.54, 0.0], [1.0], [1.0]]","[39.4, 46.1, 48.3, 48.4, 48.8]",5,"[['dcgat-agm003196024'], ['cod-2105399'], ['oqmd-1520568']]","[71.53, 63.76, 62.5]",71.53,"[['Au-0.667-In-0.333'], ['Au-0.692-In-0.308'], ['Au-0.667-In-0.333']]","[46.1, 48.4, 48.8]","[[1.0], [1.0], [1.0]]","[2, 4, 5]"
vsp2_240718\/raw\/vsp2_240718_Au-0.75-In-0.25_pp0_rep5.xy,vsp2_240718_Au-0.75-In-0.25_pp0_rep5,vsp,2,240718,Au-0.75-In-0.25,Au-0.679-In-0.321,"[0.071, -0.071]","[0.03, 0.03]","[['mp-1008634', 'dcgat-agm002136626', 'oqmd-1338473'], ['dcgat-agm003196024']]","[['Au-1.0', 'Au-1.0', 'Au-0.667-In-0.333'], ['Au-0.667-In-0.333']]","[[0.68, 0.18, 0.15], [1.0]]","[40.8, 48.7]",2,[['dcgat-agm003196024']],[67.37],67.37,[['Au-0.667-In-0.333']],[48.7],[[1.0]],[2]
vsp2_240718\/raw\/vsp2_240718_Au-0.769-In-0.231_pp0_rep1.xy,vsp2_240718_Au-0.769-In-0.231_pp0_rep1,vsp,2,240718,Au-0.769-In-0.231,Au-0.684-In-0.316,"[0.085, -0.085]","[0.03, 0.03]","[['dcgat-agm003196022'], ['dcgat-agm003196024']]","[['Au-0.667-In-0.333'], ['Au-0.667-In-0.333']]","[[1.0], [1.0]]","[40.4, 46.9]",2,"[['dcgat-agm003196022'], ['dcgat-agm003196024']]","[100.0, 72.25]",100.0,"[['Au-0.667-In-0.333'], ['Au-0.667-In-0.333']]","[40.4, 46.9]","[[1.0], [1.0]]","[1, 2]"
vsp2_240718\/raw\/vsp2_240718_Au-0.8-In-0.2_pp0_rep1.xy,vsp2_240718_Au-0.8-In-0.2_pp0_rep1,vsp,2,240718,Au-0.8-In-0.2,Au-0.682-In-0.318,"[0.118, -0.118]","[0.02, 0.02]","[['dcgat-agm002217187', 'cod-1510347', 'dcgat-agm003157171'], ['mp-1008634', 'dcgat-agm003184904', 'dcgat-agm002281401'], ['dcgat-agm002281401', 'cod-1510347', 'dcgat-agm003157171'], ['oqmd-1285258', 'cod-1510347', 'dcgat-agm003157171'], ['oqmd-321183', 'cod-1510347', 'dcgat-agm003157171'], ['cod-1538147', 'dcgat-agm003157171', 'cod-1510529'], ['cod-1010341', 'dcgat-agm003157171', 'cod-1510529'], ['dcgat-agm003196024']]","[['Au-0.8-In-0.2', 'Au-0.8-In-0.2', 'Au-1.0'], ['Au-1.0', 'Au-0.75-In-0.25', 'Au-0.833-In-0.167'], ['Au-0.833-In-0.167', 'Au-0.8-In-0.2', 'Au-1.0'], ['Au-0.75-In-0.25', 'Au-0.8-In-0.2', 'Au-1.0'], ['Au-0.75-In-0.25', 'Au-0.8-In-0.2', 'Au-1.0'], ['In-0.4-O-0.6', 'Au-1.0', 'Au-0.92-In-0.08'], ['In-0.4-O-0.6', 'Au-1.0', 'Au-0.92-In-0.08'], ['Au-0.667-In-0.333']]","[[0.14, 0.39, 0.47], [0.33, 0.49, 0.18], [0.14, 0.4, 0.46], [0.07, 0.43, 0.5], [0.01, 0.48, 0.51], [0.32, 0.33, 0.35], [0.32, 0.34, 0.34], [1.0]]","[41.2, 41.6, 42.3, 43.8, 44.9, 48.5, 48.7, 49.3]",8,[['dcgat-agm003196024']],[66.7],66.7,[['Au-0.667-In-0.333']],[49.3],[[1.0]],[8]
vsp2_240718\/raw\/vsp2_240718_Au-0.833-In-0.167_pp0_rep1.xy,vsp2_240718_Au-0.833-In-0.167_pp0_rep1,vsp,2,240718,Au-0.833-In-0.167,Au-0.744-In-0.256,"[0.089, -0.089]","[0.03, 0.03]","[['cod-2105399', 'dcgat-agm003157171', 'cod-1510529'], ['oqmd-345669'], ['mp-81'], ['oqmd-1338473', 'dcgat-agm003157171', 'cod-2105399'], ['cod-1510347', 'dcgat-agm003157171', 'cod-2105399'], ['dcgat-agm002281401', 'dcgat-agm003157171', 'cod-2105399'], ['oqmd-345669', 'dcgat-agm003157171', 'cod-2105399'], ['oqmd-1285256']]","[['Au-0.692-In-0.308', 'Au-1.0', 'Au-0.92-In-0.08'], ['Au-0.75-In-0.25'], ['Au-1.0'], ['Au-0.667-In-0.333', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.8-In-0.2', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.833-In-0.167', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.75-In-0.25', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.75-In-0.25']]","[[0.09, 0.17, 0.73], [1.0], [1.0], [0.1, 0.79, 0.11], [0.11, 0.79, 0.1], [0.09, 0.82, 0.09], [0.11, 0.79, 0.1], [1.0]]","[36.8, 40.6, 41.0, 45.0, 48.1, 48.8, 49.5, 49.5]",8,"[['oqmd-345669'], ['oqmd-1285256']]","[82.7, 52.99]",82.7,"[['Au-0.75-In-0.25'], ['Au-0.75-In-0.25']]","[40.6, 49.5]","[[1.0], [1.0]]","[2, 8]"
vsp2_240718\/raw\/vsp2_240718_Au-0.875-In-0.125_pp0_rep1.xy,vsp2_240718_Au-0.875-In-0.125_pp0_rep1,vsp,2,240718,Au-0.875-In-0.125,Au-0.734-In-0.266,"[0.141, -0.141]","[0.04, 0.04]","[['mp-81'], ['oqmd-345669'], ['cod-1510500']]","[['Au-1.0'], ['Au-0.75-In-0.25'], ['Au-0.75-In-0.25']]","[[1.0], [1.0], [1.0]]","[45.0, 46.5, 49.7]",3,"[['oqmd-345669'], ['cod-1510500']]","[92.77, 79.06]",92.77,"[['Au-0.75-In-0.25'], ['Au-0.75-In-0.25']]","[46.5, 49.7]","[[1.0], [1.0]]","[2, 3]"
vsp2_240718\/raw\/vsp2_240718_Au-0.889-In-0.111_pp0_rep1.xy,vsp2_240718_Au-0.889-In-0.111_pp0_rep1,vsp,2,240718,Au-0.889-In-0.111,Au-0.735-In-0.265,"[0.154, -0.154]","[0.02, 0.02]","[['mp-81'], ['oqmd-345669'], ['dcgat-agm002281401', 'dcgat-agm003157171', 'cod-2105399'], ['dcgat-agm003187412']]","[['Au-1.0'], ['Au-0.75-In-0.25'], ['Au-0.833-In-0.167', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.75-In-0.25']]","[[1.0], [1.0], [0.06, 0.82, 0.12], [1.0]]","[41.6, 45.2, 47.8, 49.6]",4,"[['oqmd-345669'], ['dcgat-agm003187412']]","[83.53, 67.03]",83.53,"[['Au-0.75-In-0.25'], ['Au-0.75-In-0.25']]","[45.2, 49.6]","[[1.0], [1.0]]","[2, 4]"
vsp2_240718\/raw\/vsp2_240718_Au-0.889-In-0.111_pp0_rep3.xy,vsp2_240718_Au-0.889-In-0.111_pp0_rep3,vsp,2,240718,Au-0.889-In-0.111,Au-0.773-In-0.227,"[0.116, -0.116]","[0.03, 0.03]","[['mp-81'], ['dcgat-agm003184904'], ['oqmd-345669', 'dcgat-agm003157171', 'cod-2105399'], ['oqmd-1338473', 'dcgat-agm003157171', 'cod-2105399'], ['dcgat-agm003299761', 'dcgat-agm003157171', 'cod-2105399'], ['dcgat-agm002281401', 'dcgat-agm003157171', 'cod-2105399'], ['dcgat-agm002154895', 'dcgat-agm003157171', 'cod-2105399']]","[['Au-1.0'], ['Au-0.75-In-0.25'], ['Au-0.75-In-0.25', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.667-In-0.333', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.875-In-0.125', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.833-In-0.167', 'Au-1.0', 'Au-0.692-In-0.308'], ['Au-0.833-In-0.167', 'Au-1.0', 'Au-0.692-In-0.308']]","[[1.0], [1.0], [0.08, 0.83, 0.09], [0.09, 0.83, 0.09], [0.06, 0.86, 0.09], [0.06, 0.86, 0.08], [0.05, 0.92, 0.03]]","[36.8, 44.9, 46.2, 47.6, 48.0, 48.2, 49.0]",7,[['dcgat-agm003184904']],[66.7],66.7,[['Au-0.75-In-0.25']],[44.9],[[1.0]],[2]
vsp2_240718\/raw\/vsp2_240718_Au-1.0_pp0_rep1.xy,vsp2_240718_Au-1.0_pp0_rep1,vsp,2,240718,Au-1.0,Au-1.0,[0.0],[0.01],,,,,0,[],[0],0.0,[],[],[],[]
vsp2_240718\/raw\/vsp2_240718_In-1.0_pp0_rep1.xy,vsp2_240718_In-1.0_pp0_rep1,vsp,2,240718,In-1.0,In-1.0,[0.0],[0.0],"[['cod-1538147'], ['mp-1184478', 'cod-1538147'], ['cod-1010341'], ['dcgat-agm002154695', 'mp-1184478', 'cod-1538147']]","[['In-0.4-O-0.6'], ['In-1.0', 'In-0.4-O-0.6'], ['In-0.4-O-0.6'], ['In-1.0', 'In-1.0', 'In-0.4-O-0.6']]","[[1.0], [0.0, 1.0], [1.0], [0.01, 0.0, 0.99]]","[26.6, 26.6, 34.2, 47.8]",4,[],[0],0.0,[],[],[],[]
vsp3_240718\/raw\/vsp3_240718_Au-0.111-Cu-0.889_pp0_rep1.xy,vsp3_240718_Au-0.111-Cu-0.889_pp0_rep1,vsp,3,240718,Au-0.111-Cu-0.889,Au-0.117-Cu-0.883,"[-0.006, 0.006]","[0.01, 0.01]","[['dcgat-agm003194949', 'cod-1521320', 'mp-1120774'], ['oqmd-1340565', 'dcgat-agm003267557', 'dcgat-agm003157171'], ['mp-81'], ['dcgat-agm003196001', 'cod-1521320', 'mp-1120774'], ['mp-1225761', 'cod-1521320', 'mp-1120774'], ['dcgat-agm003193289', 'dcgat-agm003162777', 'mp-1120774'], ['mp-81', 'mp-989782'], ['dcgat-agm003184897', 'cod-1510113', 'dcgat-agm003162777'], ['dcgat-agm003264513'], ['dcgat-agm002371389'], ['mp-989782']]","[['Au-0.6-Cu-0.4', 'Cu-0.333-O-0.667', 'Cu-1.0'], ['Au-0.25-Cu-0.75', 'Au-0.667-Cu-0.333', 'Au-1.0'], ['Au-1.0'], ['Au-0.167-Cu-0.833', 'Cu-0.333-O-0.667', 'Cu-1.0'], ['Au-0.2-Cu-0.8', 'Cu-0.333-O-0.667', 'Cu-1.0'], ['Au-0.2-Cu-0.8', 'Au-0.75-Cu-0.25', 'Cu-1.0'], ['Au-1.0', 'Cu-1.0'], ['Au-0.25-Cu-0.75', 'Au-0.5-Cu-0.5', 'Au-0.75-Cu-0.25'], ['Au-0.125-Cu-0.875'], ['Au-0.111-Cu-0.889'], ['Cu-1.0']]","[[0.3, 0.42, 0.29], [0.68, 0.01, 0.3], [1.0], [0.8, 0.17, 0.03], [0.0, 1.0, 0.0], [0.0, 0.31, 0.69], [1.0, 0.0], [0.0, 0.0, 1.0], [1.0], [1.0], [1.0]]","[23.5, 25.9, 27.3, 27.4, 40.4, 43.1, 45.7, 48.5, 48.6, 48.6, 48.6]",11,"[['dcgat-agm003264513'], ['dcgat-agm002371389']]","[28.51, 28.51]",28.51,"[['Au-0.125-Cu-0.875'], ['Au-0.111-Cu-0.889']]","[48.6, 48.6]","[[1.0], [1.0]]","[9, 10]"
vsp3_240718\/raw\/vsp3_240718_Au-0.125-Cu-0.875_pp0_rep1.xy,vsp3_240718_Au-0.125-Cu-0.875_pp0_rep1,vsp,3,240718,Au-0.125-Cu-0.875,Au-0.136-Cu-0.864,"[-0.011, 0.011]","[0.01, 0.01]","[['dcgat-agm003200107', 'cod-1521320', 'mp-1120774'], ['dcgat-agm003203426', 'dcgat-agm003187406', 'dcgat-agm003203430'], ['dcgat-agm003184897', 'dcgat-agm003187406', 'dcgat-agm003203430'], ['mp-81'], ['dcgat-agm003184883', 'dcgat-agm003187406', 'cod-1521320'], ['dcgat-agm003194945', 'dcgat-agm003187406', 'cod-1521320'], ['mp-81', 'mp-989782'], ['dcgat-agm003187405', 'dcgat-agm003187406', 'cod-1521320'], ['cod-2105390', 'dcgat-agm003187406', 'dcgat-agm003203430'], ['mp-989782'], ['dcgat-agm003264513'], ['dcgat-agm003285789'], ['dcgat-agm002371389'], ['dcgat-agm003193289', 'dcgat-agm003187406', 'dcgat-agm003203430']]","[['Au-0.667-Cu-0.333', 'Cu-0.333-O-0.667', 'Cu-1.0'], ['Au-0.833-Cu-0.167', 'Au-0.5-Cu-0.5', 'Au-0.167-Cu-0.833'], ['Au-0.25-Cu-0.75', 'Au-0.5-Cu-0.5', 'Au-0.167-Cu-0.833'], ['Au-1.0'], ['Au-0.25-Cu-0.75', 'Au-0.5-Cu-0.5', 'Cu-0.333-O-0.667'], ['Au-0.2-Cu-0.8', 'Au-0.5-Cu-0.5', 'Cu-0.333-O-0.667'], ['Au-1.0', 'Cu-1.0'], ['Au-0.5-Cu-0.5', 'Au-0.5-Cu-0.5', 'Cu-0.333-O-0.667'], ['Au-0.4-O-0.6', 'Au-0.5-Cu-0.5', 'Au-0.167-Cu-0.833'], ['Cu-1.0'], ['Au-0.125-Cu-0.875'], ['Au-0.133-Cu-0.867'], ['Au-0.111-Cu-0.889'], ['Au-0.2-Cu-0.8', 'Au-0.5-Cu-0.5', 'Au-0.167-Cu-0.833']]","[[0.31, 0.49, 0.21], [0.29, 0.0, 0.71], [0.0, 0.37, 0.63], [1.0], [0.68, 0.17, 0.15], [0.0, 0.29, 0.71], [1.0, 0.0], [0.54, 0.11, 0.35], [0.05, 0.18, 0.77], [1.0], [1.0], [1.0], [1.0], [0.0, 0.62, 0.38]]","[23.7, 25.9, 29.2, 31.2, 33.6, 34.2, 47.8, 48.8, 49.2, 49.9, 49.9, 49.9, 49.9, 50.0]",14,"[['dcgat-agm003264513'], ['dcgat-agm003285789']]","[26.98, 26.98]",26.98,"[['Au-0.125-Cu-0.875'], ['Au-0.133-Cu-0.867']]","[49.9, 49.9]","[[1.0], [1.0]]","[11, 12]"
vsp3_240718\/raw\/vsp3_240718_Au-0.25-Cu-0.75_pp0_rep1.xy,vsp3_240718_Au-0.25-Cu-0.75_pp0_rep1,vsp,3,240718,Au-0.25-Cu-0.75,Au-0.366-Cu-0.634,"[-0.116, 0.116]","[0.0, 0.0]","[['dcgat-agm003203426', 'dcgat-agm003264511', 'mp-1120774'], ['dcgat-agm003203430', 'dcgat-agm003203422', 'mp-1120774'], ['dcgat-agm003200086', 'mp-1120774', 'dcgat-agm003157171'], ['oqmd-322637'], ['mp-81'], ['dcgat-agm003200121', 'dcgat-agm003203422', 'mp-1120774'], ['oqmd-1340565'], ['dcgat-agm003184883'], ['dcgat-agm003203422', 'cod-1521320', 'dcgat-agm003187403'], ['dcgat-agm003184879']]","[['Au-0.833-Cu-0.167', 'Au-0.625-Cu-0.375', 'Cu-1.0'], ['Au-0.167-Cu-0.833', 'Au-0.333-Cu-0.667', 'Cu-1.0'], ['Au-0.5-Cu-0.5', 'Cu-1.0', 'Au-1.0'], ['Au-0.25-Cu-0.75'], ['Au-1.0'], ['Au-0.667-Cu-0.333', 'Au-0.333-Cu-0.667', 'Cu-1.0'], ['Au-0.25-Cu-0.75'], ['Au-0.25-Cu-0.75'], ['Au-0.333-Cu-0.667', 'Cu-0.333-O-0.667', 'Au-0.5-Cu-0.5'], ['Au-0.25-Cu-0.75']]","[[0.12, 0.46, 0.42], [0.31, 0.69, 0.0], [0.05, 0.6, 0.35], [1.0], [1.0], [0.32, 0.13, 0.56], [1.0], [1.0], [0.36, 0.19, 0.44], [1.0]]","[23.3, 24.9, 28.3, 28.6, 29.5, 30.9, 31.5, 32.1, 35.3, 43.2]",10,[],[0],0.0,[],[],[],[]
vsp3_240718\/raw\/vsp3_240718_Au-0.333-Cu-0.667_pp0_rep1.xy,vsp3_240718_Au-0.333-Cu-0.667_pp0_rep1,vsp,3,240718,Au-0.333-Cu-0.667,Au-0.528-Cu-0.472,"[-0.195, 0.195]","[0.01, 0.01]","[['dcgat-agm003194953', 'mp-1120774', 'dcgat-agm003157171'], ['dcgat-agm003264508', 'mp-1120774', 'dcgat-agm003157171'], ['mp-1184018', 'mp-1120774', 'dcgat-agm003157171'], ['dcgat-agm003266819', 'dcgat-agm003157171'], ['dcgat-agm003203422'], ['dcgat-agm003203429', 'mp-1120774', 'dcgat-agm003157171'], ['cod-9000603', 'dcgat-agm003157171', 'mp-1120774'], ['cod-1510430', 'mp-1120774', 'dcgat-agm003157171'], ['mp-81'], ['mp-81', 'mp-989782'], ['dcgat-agm002146353', 'dcgat-agm003157171', 'mp-1120774'], ['dcgat-agm003194954']]","[['Au-0.8-Cu-0.2', 'Cu-1.0', 'Au-1.0'], ['Au-0.75-Cu-0.25', 'Cu-1.0', 'Au-1.0'], ['Au-0.75-Cu-0.25', 'Cu-1.0', 'Au-1.0'], ['Au-0.889-Cu-0.111', 'Au-1.0'], ['Au-0.333-Cu-0.667'], ['Au-0.833-Cu-0.167', 'Cu-1.0', 'Au-1.0'], ['Cu-0.571-O-0.429', 'Au-1.0', 'Cu-1.0'], ['Au-0.8-Cu-0.2', 'Cu-1.0', 'Au-1.0'], ['Au-1.0'], ['Au-1.0', 'Cu-1.0'], ['Au-0.875-Cu-0.125', 'Au-1.0', 'Cu-1.0'], ['Au-0.8-Cu-0.2']]","[[0.09, 0.45, 0.46], [0.18, 0.35, 0.47], [0.43, 0.36, 0.21], [0.82, 0.18], [1.0], [0.29, 0.5, 0.22], [0.0, 0.71, 0.29], [0.46, 0.46, 0.08], [1.0], [1.0, 0.0], [0.2, 0.32, 0.48], [1.0]]","[24.9, 25.7, 27.0, 28.2, 28.4, 28.4, 28.5, 30.0, 30.9, 32.6, 34.6, 36.6]",12,[],[0],0.0,[],[],[],[]
vsp3_240718\/raw\/vsp3_240718_Au-0.333-Cu-0.667_pp0_rep2.xy,vsp3_240718_Au-0.333-Cu-0.667_pp0_rep2,vsp,3,240718,Au-0.333-Cu-0.667,Au-0.468-Cu-0.532,"[-0.135, 0.135]","[0.01, 0.01]","[['mp-1184018', 'mp-1120774', 'dcgat-agm003157171'], ['dcgat-agm003194954', 'mp-1120774', 'dcgat-agm003157171'], ['dcgat-agm003203422'], ['mp-1008634', 'dcgat-agm003194953', 'mp-1120774'], ['oqmd-322186', 'mp-1120774', 'dcgat-agm003157171'], ['cod-1510491', 'dcgat-agm003194953', 'mp-1120774'], ['mp-81'], ['mp-81', 'mp-989782'], ['dcgat-agm003162777', 'mp-1120774', 'dcgat-agm003157171']]","[['Au-0.75-Cu-0.25', 'Cu-1.0', 'Au-1.0'], ['Au-0.8-Cu-0.2', 'Cu-1.0', 'Au-1.0'], ['Au-0.333-Cu-0.667'], ['Au-1.0', 'Au-0.8-Cu-0.2', 'Cu-1.0'], ['Au-0.75-Cu-0.25', 'Cu-1.0', 'Au-1.0'], ['Au-0.75-Cu-0.25', 'Au-0.8-Cu-0.2', 'Cu-1.0'], ['Au-1.0'], ['Au-1.0', 'Cu-1.0'], ['Au-0.75-Cu-0.25', 'Cu-1.0', 'Au-1.0']]","[[0.37, 0.46, 0.17], [0.23, 0.65, 0.12], [1.0], [0.18, 0.82, 0.0], [0.04, 0.64, 0.32], [0.16, 0.84, 0.0], [1.0], [1.0, 0.0], [0.08, 0.46, 0.46]]","[26.0, 26.3, 26.8, 27.4, 30.7, 32.9, 33.3, 38.3, 43.3]",9,[],[0],0.0,[],[],[],[]
