sample id,source,batch number,batch date,rod1,rod2,rod3,rod1 diameter (mm),rod2 diameter (mm),rod3 diameter (mm),voltage1 (kV),current1 (mA),voltage2 (kV),curren2 (mA),voltage3 (kV),current3 (mA),speed (um/s),wafer spot,,
vsp8_240802_Pd-0.667-Zn-0.333_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,3.93,,,2160,9,,
vsp8_240802_Pd-0.625-Zn-0.375_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,4.79,,,2270,10,,
vsp8_240802_Pd-0.571-Zn-0.429_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,6.02,,,2430,11,,
vsp8_240802_Pd-0.5-Zn-0.5_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,7.99,,,2680,12,,
vsp8_240802_Pd-0.5-Zn-0.5_pp0_rep2,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,7.99,,,2680,13,,
vsp8_240802_Pd-0.5-Zn-0.5_pp0_rep3,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,1.30,7.99,,,2680,14,,
vsp8_240802_Pd-0.429-Zn-0.571_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,9.45,1.30,10.00,,,2840,15,,
vsp8_240802_Pd-0.4-Zn-0.6_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,8.35,1.30,10.00,,,2660,16,,
vsp8_240802_Pd-0.375-Zn-0.625_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,7.51,1.30,10.00,,,2520,17,,
vsp8_240802_Pd-0.333-Zn-0.667_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,6.17,1.30,10.00,,,2300,18,,
vsp8_240802_Pd-0.25-Zn-0.75_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,4.17,1.30,10.00,,,1970,19,,
vsp8_240802_Pd-0.231-Zn-0.769_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,3.74,1.30,10.00,,,1900,20,,
vsp8_240802_Pd-0.167-Zn-0.833_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,2.57,1.30,10.00,,,1700,21,,
vsp8_240802_Pd-0.125-Zn-0.875_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,1.79,1.30,10.00,,,1570,22,,
vsp8_240802_Pd-0.111-Zn-0.889_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,1.55,1.30,10.00,,,1530,23,,
vsp8_240802_Pd-1.0_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,1.3,10.00,,,,,1660,24,,
vsp8_240802_Zn-1.0_pp0_rep1,vsp,8,240802,Pd,Zn,,3,6,,,,1.30,10.00,,,1280,25,,
vsp9_240726_Sn-0.19-Zn-0.81_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,0.8,1.2,1.3,10,,,910,1,,
vsp9_240726_Sn-0.22-Zn-0.78_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,0.8,1.46,1.3,10,,,960,2,,
vsp9_240726_Sn-0.25-Zn-0.75_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.06,1.3,10,,,1020,3,,
vsp9_240726_Sn-0.25-Zn-0.75_pp0_rep2,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.06,1.3,10,,,1020,4,,
vsp9_240726_Sn-0.25-Zn-0.75_pp0_rep3,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.06,1.3,10,,,1020,5,,
vsp9_240726_Sn-0.28-Zn-0.72_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.23,1.3,10,,,1090,6,,
vsp9_240726_Sn-0.31-Zn-0.69_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.43,1.3,10,,,1160,7,,
vsp9_240726_Sn-0.333-Zn-0.667_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.58,1.3,10,,,1220,8,,
vsp9_240726_Sn-0.333-Zn-0.667_pp0_rep2,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.58,1.3,10,,,1220,9,,
vsp9_240726_Sn-0.333-Zn-0.667_pp0_rep3,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.58,1.3,10,,,1220,10,,
vsp9_240726_Sn-0.37-Zn-0.63_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.86,1.3,10,,,1320,11,,
vsp9_240726_Sn-0.37-Zn-0.63_pp0_rep2,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.86,1.3,10,,,1320,12,,
vsp9_240726_Sn-0.37-Zn-0.63_pp0_rep3,vsp,9,240726,Sn,Zn,,6,6,,1.3,1.86,1.3,10,,,1320,13,,
vsp9_240726_Sn-0.4-Zn-0.6_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,2.12,1.3,10,,,1410,14,,
vsp9_240726_Sn-0.44-Zn-0.56_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,2.49,1.3,10,,,1550,15,,
vsp9_240726_Sn-0.47-Zn-0.53_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,2.82,1.3,10,,,1660,16,,
vsp9_240726_Sn-0.5-Zn-0.5_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.17,1.3,10,,,1800,17,,
vsp9_240726_Sn-0.5-Zn-0.5_pp0_rep2,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.17,1.3,10,,,1800,18,,
vsp9_240726_Sn-0.5-Zn-0.5_pp0_rep3,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.17,1.3,10,,,1800,19,,
vsp9_240726_Sn-0.53-Zn-0.47_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.58,1.3,10,,,1940,20,,
vsp9_240726_Sn-0.53-Zn-0.47_pp0_rep2,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.58,1.3,10,,,1940,21,,
vsp9_240726_Sn-0.53-Zn-0.47_pp0_rep3,vsp,9,240726,Sn,Zn,,6,6,,1.3,3.58,1.3,10,,,1940,22,,
vsp9_240726_Sn-0.56-Zn-0.44_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,4.04,1.3,10,,,2110,23,,
vsp9_240726_Sn-1.0_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,10,,,,,3650,24,,
vsp9_240726_Zn-1.0_pp0_rep1,vsp,9,240726,Sn,Zn,,6,6,,1.3,,1.3,10,,,640,25,,
vsp10_240726_Au-0.111-Zn-0.889_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,1.28,1.3,10,,,880,1,,
vsp10_240726_Au-0.125-Zn-0.875_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,1.48,1.3,10,,,910,2,,
vsp10_240726_Au-0.167-Zn-0.833_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,2.12,1.3,10,,,1030,3,,
vsp10_240726_Au-0.2-Zn-0.8_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,2.59,1.3,10,,,1120,4,,
vsp10_240726_Au-0.25-Zn-0.75_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,3.45,1.3,10,,,1280,5,,
vsp10_240726_Au-0.294-Zn-0.706_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,4.23,1.3,10,,,1420,6,,
vsp10_240726_Au-0.333-Zn-0.667_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,5.1,1.3,10,,,1580,7,,
vsp10_240726_Au-0.375-Zn-0.625_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,6.21,1.3,10,,,1790,8,,
vsp10_240726_Au-0.4-Zn-0.6_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,6.9,1.3,10,,,1920,9,,
vsp10_240726_Au-0.429-Zn-0.571_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,7.81,1.3,10,,,2090,10,,
vsp10_240726_Au-0.5-Zn-0.5_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,9.66,,,2470,11,,
vsp10_240726_Au-0.556-Zn-0.444_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,7.59,,,2340,12,,
vsp10_240726_Au-0.6-Zn-0.4_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,6.44,,,2270,13,,
vsp10_240726_Au-0.625-Zn-0.375_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,5.79,,,2230,14,,
vsp10_240726_Au-0.667-Zn-0.333_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,4.76,,,2160,15,,
vsp10_240726_Au-0.692-Zn-0.308_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,4.34,,,2130,16,,
vsp10_240726_Au-0.7-Zn-0.3_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,4.14,,,2120,17,,
vsp10_240726_Au-0.75-Zn-0.25_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,3.22,,,2060,18,,
vsp10_240726_Au-0.75-Zn-0.25_pp0_rep2,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,3.22,,,2060,19,,
vsp10_240726_Au-0.75-Zn-0.25_pp0_rep3,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,3.22,,,2060,20,,
vsp10_240726_Au-0.8-Zn-0.2_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,2.41,,,2010,21,,
vsp10_240726_Au-0.833-Zn-0.167_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,1.98,,,1980,22,,
vsp10_240726_Au-0.889-Zn-0.111_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,1.3,1.19,,,1930,23,,
vsp10_240726_Zn-1.0_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,,,1.3,10,,,640,24,,
vsp10_240726_Au-1.0_pp0_rep1,vsp,10,240726,Au,Zn,,2,6,,1.3,10,,,,,1860,25,,
vsp11_240802_Ag-0.889-Zn-0.111_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,0.7,0.6,,,590,1,,
vsp11_240802_Ag-0.833-Zn-0.167_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,0.7,0.99,,,620,2,,
vsp11_240802_Ag-0.8-Zn-0.2_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,0.7,1.21,,,630,3,,
vsp11_240802_Ag-0.778-Zn-0.222_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,0.7,1.37,,,640,4,,
vsp11_240802_Ag-0.75-Zn-0.25_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,0.7,1.62,,,660,5,,
vsp11_240802_Ag-0.667-Zn-0.333_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,1.29,,,710,6,,
vsp11_240802_Ag-0.625-Zn-0.375_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,1.57,,,750,7,,
vsp11_240802_Ag-0.6-Zn-0.4_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,1.74,,,770,8,,
vsp11_240802_Ag-0.583-Zn-0.417_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,1.89,,,790,9,,
vsp11_240802_Ag-0.556-Zn-0.444_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,2.05,,,810,10,,
vsp11_240802_Ag-0.5-Zn-0.5_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,2.61,,,880,11,,
vsp11_240802_Ag-0.462-Zn-0.538_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,3.07,,,940,12,,
vsp11_240802_Ag-0.429-Zn-0.571_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,3.46,,,990,13,,
vsp11_240802_Ag-0.4-Zn-0.6_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,3.92,,,1050,14,,
vsp11_240802_Ag-0.375-Zn-0.625_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,4.35,,,1100,15,,
vsp11_240802_Ag-0.333-Zn-0.667_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,5.3,,,1230,16,,
vsp11_240802_Ag-0.25-Zn-0.75_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,7.84,,,1550,17,,
vsp11_240802_Ag-0.25-Zn-0.75_pp0_rep2,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,7.84,,,1550,18,,
vsp11_240802_Ag-0.25-Zn-0.75_pp0_rep3,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,7.84,,,1550,19,,
vsp11_240802_Ag-0.222-Zn-0.778_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,1.3,9.26,,,1730,20,,
vsp11_240802_Ag-0.2-Zn-0.8_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,9.57,1.3,10,,,1800,21,,
vsp11_240802_Ag-0.167-Zn-0.833_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,7.84,1.3,10,,,1710,22,,
vsp11_240802_Ag-0.111-Zn-0.889_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,4.73,1.3,10,,,1540,23,,
vsp11_240802_Zn-1.0_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,,,1.3,10,,,1280,24,,
vsp11_240802_Ag-1.0_pp0_rep1,vsp,11,240802,Ag,Zn,,3,2,,1.3,10,,,,,550,25,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.45,1,1.4,480,1,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep2,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.45,1,1.4,480,2,,
vsp12_240816_Ag-0.75-In-0.125-Sn-0.125_pp0_rep3,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.45,1,1.4,480,3,,
vsp12_240816_Ag-0.727-In-0.182-Sn-0.091_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.68,1,1.1,500,4,,
vsp12_240816_Ag-0.667-In-0.111-Sn-0.222_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.45,1.3,2.2,540,5,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,1.35,1.3,3.3,740,6,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep2,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,1.35,1.3,3.3,740,7,,
vsp12_240816_Ag-0.5-In-0.25-Sn-0.25_pp0_rep3,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,1.35,1.3,3.3,740,8,,
vsp12_240816_Ag-0.5-In-0.167-Sn-0.333_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0.5,0.9,1.3,4.4,730,9,,
vsp12_240816_Ag-0.333-In-0.333-Sn-0.333_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1.3,1.04,1.3,6.6,1120,10,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,7.6,1,1.02,1.3,10,1130,11,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep2,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,7.6,1,1.02,1.3,10,1130,12,,
vsp12_240816_Ag-0.25-In-0.25-Sn-0.5_pp0_rep3,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,7.6,1,1.02,1.3,10,1130,13,,
vsp12_240816_Ag-0.125-In-0.125-Sn-0.75_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,2.5,0.5,0.68,1.3,10,760,14,,
vsp12_240816_Ag-0.333-In-0.5-Sn-0.167_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1.3,1.56,1.3,3.3,1130,15,,
vsp12_240816_Ag-0.125-In-0.75-Sn-0.125_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1.3,6.25,1.3,6.6,3070,16,,
vsp12_240816_Ag-0.222-In-0.667-Sn-0.111_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1.3,3.13,1.3,3.3,1710,17,,
vsp12_240816_Ag-0.091-In-0.727-Sn-0.182_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,7.6,1.3,6.29,1.3,10,3190,18,,
vsp12_240816_Ag-0.182-In-0.091-Sn-0.727_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,3.8,0.5,0.51,1.3,10,780,19,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1,1.35,0,0,740,20,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep4,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1,1.35,0,0,740,21,,
vsp12_240816_Ag-0.5-In-0.5_pp0_rep7,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,1,1.35,0,0,740,22,,
vsp12_240816_In-1.0_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,0,0,0,0,1.3,10,570,23,,
vsp12_240816_Sn-1.0_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,0,0,1.3,10,0,0,3740,24,,
vsp12_240816_Ag-1.0_pp0_rep1,vsp,12,240816,Ag,In,Sn,3,6,6,1.3,10,0,0,0,0,350,25,,
vsp13_240823_Ag-0.6-Au-0.35-Zn-0.05_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.98,0.5,0.58,750,1,,
vsp13_240823_Ag-0.4-Au-0.5-Zn-0.1_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,4.24,0.5,1.75,1220,2,,
vsp13_240823_Ag-0.444-Au-0.444-Zn-0.111_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,3.40,0.5,1.75,1060,3,,
vsp13_240823_Ag-0.667-Au-0.222-Zn-0.111_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.12,0.5,1.15,600,4,,
vsp13_240823_Ag-0.25-Au-0.625-Zn-0.125_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,8.49,1.3,1.34,2080,5,,
vsp13_240823_Ag-0.375-Au-0.5-Zn-0.125_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,4.53,0.5,2.33,1290,6,,
vsp13_240823_Ag-0.5-Au-0.375-Zn-0.125_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,2.55,0.5,1.75,890,7,,
vsp13_240823_Ag-0.286-Au-0.571-Zn-0.143_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,6.67,1.3,1.30,1730,8,,
vsp13_240823_Ag-0.571-Au-0.286-Zn-0.143_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.73,0.5,1.72,730,9,,
vsp13_240823_Ag-0.167-Au-0.667-Zn-0.167_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,7.37,1.30,10.00,1.3,1.98,2320,10,,
vsp13_240823_Ag-0.333-Au-0.5-Zn-0.167_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,5.15,1.3,1.39,1450,11,,
vsp13_240823_Ag-0.5-Au-0.333-Zn-0.167_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,2.24,0.5,2.38,850,12,,
vsp13_240823_Ag-0.667-Au-0.167-Zn-0.167_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,0.85,0.5,1.75,570,13,,
vsp13_240823_Ag-0.364-Au-0.455-Zn-0.182_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,4.24,1.3,1.34,1270,14,,
vsp13_240823_Ag-0.636-Au-0.182-Zn-0.182_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,0.96,0.5,1.97,590,15,,
vsp13_240823_Ag-0.111-Au-0.667-Zn-0.222_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,4.83,1.30,10.00,1.3,2.60,2280,16,,
vsp13_240823_Ag-0.125-Au-0.625-Zn-0.25_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,5.89,1.30,10.00,1.3,3.17,2360,17,,
vsp13_240823_Ag-0.25-Au-0.5-Zn-0.25_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,6.79,1.3,2.69,1860,18,,
vsp13_240823_Ag-0.5-Au-0.25-Zn-0.25_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.70,1.3,1.34,780,19,,
vsp13_240823_Ag-0.625-Au-0.125-Zn-0.25_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,0.50,1.77,1.3,1.08,570,20,,
vsp13_240823_Ag-0.286-Au-0.429-Zn-0.286_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,5.09,1.3,2.69,1540,21,,
vsp13_240823_Ag-0.429-Au-0.286-Zn-0.286_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,2.26,1.3,1.79,930,22,,
vsp13_240823_Ag-0.333-Au-0.333-Zn-0.333_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,3.40,1.3,2.69,1220,23,,
vsp13_240823_Ag-0.125-Au-0.5-Zn-0.375_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,7.36,1.30,10.00,1.3,5.94,2640,24,,
vsp13_240823_Ag-0.5-Au-0.125-Zn-0.375_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,0.50,2.21,1.3,2.02,680,25,,
vsp13_240823_Ag-0.538-Au-0.077-Zn-0.385_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,0.80,0.79,1.3,2.69,1350,26,,
vsp13_240823_Ag-0.067-Au-0.533-Zn-0.4_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,3.70,1.30,10.00,1.3,8.30,1260,27,,
vsp13_240823_Ag-0.1-Au-0.5-Zn-0.4_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,5.89,1.30,10.00,1.3,8.84,1310,28,,
vsp13_240823_Ag-0.2-Au-0.4-Zn-0.4_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,6.79,1.3,7.51,1040,29,,
vsp13_240823_Ag-0.4-Au-0.2-Zn-0.4_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.70,1.3,3.75,450,30,,
vsp13_240823_Ag-0.417-Au-0.167-Zn-0.417_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.36,1.3,3.75,420,31,,
vsp13_240823_Ag-0.5-Au-0.083-Zn-0.417_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,0.80,0.92,1.3,3.13,320,32,,
vsp13_240823_Ag-0.222-Au-0.333-Zn-0.444_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,5.09,1.3,7.51,880,33,,
vsp13_240823_Ag-0.333-Au-0.222-Zn-0.444_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,2.26,1.3,5.01,530,34,,
vsp13_240823_Ag-0.444-Au-0.111-Zn-0.444_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.10,1.3,3.75,360,35,,
vsp13_240823_Ag-0.083-Au-0.417-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,4.42,1.30,7.54,1.3,10.00,1080,36,,
vsp13_240823_Ag-0.1-Au-0.4-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,5.33,1.30,7.24,1.3,10.00,1070,37,,
vsp13_240823_Ag-0.25-Au-0.25-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,3.40,1.3,7.51,710,38,,
vsp13_240823_Ag-0.333-Au-0.167-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.70,1.3,5.64,500,39,,
vsp13_240823_Ag-0.4-Au-0.1-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.00,1.10,1.3,4.69,390,40,,
vsp13_240823_Ag-0.417-Au-0.083-Zn-0.5_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.00,0.88,1.3,4.50,370,41,,
vsp13_240823_Ag-0.2-Au-0.2-Zn-0.6_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,8.88,1.30,3.01,1.3,10.00,730,42,,
vsp13_240823_Ag-0.25-Au-0.125-Zn-0.625_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,10.00,1.30,1.70,1.3,9.39,610,43,,
vsp13_240823_Ag-0.182-Au-0.182-Zn-0.636_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,7.62,1.30,2.59,1.3,10.00,670,44,,
vsp13_240823_Ag-0.111-Au-0.222-Zn-0.667_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,4.43,1.30,3.01,1.3,10.00,650,45,,
vsp13_240823_Ag-0.167-Au-0.167-Zn-0.667_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,6.67,1.30,2.26,1.3,10.00,620,46,,
vsp13_240823_Ag-0.125-Au-0.125-Zn-0.75_pp0_rep1,vsp,13,240823,Ag,Au,Zn,3,2,6,1.30,4.44,1.30,1.51,1.3,10.00,510,47,,
vsp14_240906_Au-0.5-Cu-0.4-Zn-0.1_pp0_rep1,vsp,14,240906,Au,Cu,Zn,2,2,2,1.3,2.8,1.3,10,1.3,0.44,700,1,,
vsp14_240906_Au-0.667-Cu-0.222-Zn-0.111_pp0_rep1,vsp,14,240906,Au,Cu,Zn,2,2,2,1.3,6.7,1.3,10,1.3,0.87,1490,2,,
